Model,Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted
Baseline,1.0,1.0,1.0,1.0,1.0
LightGBM,0.9999787569411694,0.9999802094476057,0.9998236332427306,0.9999016918351228,0.9999787456116693
XGBoost,0.9999830055529356,0.9993038107087708,0.9993582705268861,0.9993235681392361,0.9999830130010883
Random Forest,0.9988401289878532,0.984512799495575,0.9560867510899259,0.9678330428065723,0.9988377043556844
Logistic Regression,0.9921528140680033,0.8100586565013552,0.9357738707240203,0.8457219711043293,0.992675688320378
